"index","prompt","prediction","ground_truth","output_text","probabilities"
"8","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The flame on the candle went out. Choice 1: I blew on the wick. Choice 2: I put a match to the wick. Answer:","1","0","2","""[0.26109620928764343, 0.7312225699424744]"""
"15","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The judge pounded the gavel. Choice 1: The courtroom broke into uproar. Choice 2: The jury announced its verdict. Answer:","1","0","2","""[0.3035362958908081, 0.6772619485855103]"""
"19","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The woman ran her finger under cold water. Choice 1: She burned her finger on the toaster. Choice 2: She put a diamond ring on her finger. Answer:","1","0","2","""[0.2700261175632477, 0.7195547819137573]"""
"29","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The woman covered her mouth with her hand. Choice 1: She exhaled. Choice 2: She sneezed. Answer:","0","1","1","""[0.6750757098197937, 0.30688491463661194]"""
"48","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I pulled the rubber band. Choice 1: It flung across the room. Choice 2: It stretched. Answer:","0","1","1","""[0.8570196032524109, 0.13521550595760345]"""
"58","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man fainted. Choice 1: He took a nap. Choice 2: He ran a marathon. Answer:","0","1","1","""[0.7924635410308838, 0.1887620985507965]"""
"59","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man lost the competition. Choice 1: The competition was sabotaged. Choice 2: He intimidated his competitors. Answer:","1","0","2","""[0.2937161922454834, 0.6324871182441711]"""
"63","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I put rubber gloves on. Choice 1: I was preparing to wash my hands. Choice 2: I was preparing to clean the bathroom. Answer:","0","1","1","""[0.9420289993286133, 0.053448472172021866]"""
"65","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man perceived that the woman looked different. Choice 1: The woman got her hair cut. Choice 2: The woman wore a bracelet. Answer:","1","0","2","""[0.08225899189710617, 0.9072705507278442]"""
"78","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I stayed up late. Choice 1: I had vivid dreams that night. Choice 2: I was tired in the morning. Answer:","0","1","1","""[0.6820464730262756, 0.3122636377811432]"""
"83","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: Political violence broke out in the nation. Choice 1: Many citizens relocated to the capitol. Choice 2: Many citizens took refuge in other territories. Answer:","0","1","1","""[0.56519615650177, 0.42845419049263]"""
"90","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I lit the candle. Choice 1: Wax dripped off the candle. Choice 2: The wax on the candle hardened. Answer:","1","0","2","""[0.1792893409729004, 0.8138571381568909]"""
"91","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I spent the day at the pool. Choice 1: I sprained my ankle. Choice 2: My face got sunburned. Answer:","0","1","1  Premise: I was","""[0.604807436466217, 0.3811763525009155]"""
"98","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The computer was expensive to fix. Choice 1: I got it repaired. Choice 2: I bought a new one. Answer:","0","1","1","""[0.7342199087142944, 0.2603108584880829]"""
