"index","prompt","prediction","ground_truth","output_text","probabilities"
"8","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The flame on the candle went out. Choice 1: I blew on the wick. Choice 2: I put a match to the wick. Answer:","1","0","Premise: I saw a","""[0.0010718118865042925, 0.001561693730764091]"""
"15","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The judge pounded the gavel. Choice 1: The courtroom broke into uproar. Choice 2: The jury announced its verdict. Answer:","1","0","Premise: I saw a","""[0.00032650039065629244, 0.0004740439762827009]"""
"16","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The woman banished the children from her property. Choice 1: The children hit a ball into her yard. Choice 2: The children trampled through her garden. Answer:","0","1","Premise: The man was","""[0.00047745293704792857, 0.0004510813159868121]"""
"19","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The woman ran her finger under cold water. Choice 1: She burned her finger on the toaster. Choice 2: She put a diamond ring on her finger. Answer:","1","0","Premise: I saw a","""[0.0004906494868919253, 0.0006472407840192318]"""
"29","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The woman covered her mouth with her hand. Choice 1: She exhaled. Choice 2: She sneezed. Answer:","0","1","Premise: I saw a","""[0.002052447060123086, 0.000687483639921993]"""
"48","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I pulled the rubber band. Choice 1: It flung across the room. Choice 2: It stretched. Answer:","0","1","Premise: I ate a","""[0.0032797532621771097, 0.0005695308209396899]"""
"52","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The detective revealed an anomaly in the case. Choice 1: He finalized his theory. Choice 2: He scrapped his theory. Answer:","0","1","P","""[0.000986606813967228, 0.0007192583288997412]"""
"55","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The boy skipped dinner. Choice 1: His mother cooked his favorite meal. Choice 2: He ate a big lunch. Answer:","0","1","Premise: The girl was","""[0.0009727917495183647, 0.0006443473976105452]"""
"58","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man fainted. Choice 1: He took a nap. Choice 2: He ran a marathon. Answer:","0","1","Premise: I saw a","""[0.0055648027919232845, 0.0009326175786554813]"""
"59","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man lost the competition. Choice 1: The competition was sabotaged. Choice 2: He intimidated his competitors. Answer:","1","0","Premise: The man is","""[0.0011770287528634071, 0.0016202746191993356]"""
"63","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I put rubber gloves on. Choice 1: I was preparing to wash my hands. Choice 2: I was preparing to clean the bathroom. Answer:","0","1","P","""[0.004516248591244221, 0.0006248143035918474]"""
"65","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man perceived that the woman looked different. Choice 1: The woman got her hair cut. Choice 2: The woman wore a bracelet. Answer:","1","0","Premise: The woman was","""[0.0008057153900153935, 0.0016685554292052984]"""
"78","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I stayed up late. Choice 1: I had vivid dreams that night. Choice 2: I was tired in the morning. Answer:","0","1","P","""[0.00023207352205645293, 0.00010970167932100594]"""
"83","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: Political violence broke out in the nation. Choice 1: Many citizens relocated to the capitol. Choice 2: Many citizens took refuge in other territories. Answer:","0","1","Premise: The sun was","""[0.0006715449271723628, 0.0002372461894992739]"""
"90","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I lit the candle. Choice 1: Wax dripped off the candle. Choice 2: The wax on the candle hardened. Answer:","1","0","Premise: I ate a","""[0.0016196246724575758, 0.002310140524059534]"""
"91","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: I spent the day at the pool. Choice 1: I sprained my ankle. Choice 2: My face got sunburned. Answer:","0","1","Premise: I went to","""[0.0028276850935071707, 0.0024971968960016966]"""
"92","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The man received a parking ticket. Choice 1: He parallel parked on the street. Choice 2: The parking meter expired. Answer:","0","1","P","""[0.003633539192378521, 0.003519247518852353]"""
"95","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: My ears were ringing. Choice 1: I went to a museum. Choice 2: I went to a concert. Answer:","0","1","Premise: I saw a","""[0.0009384998120367527, 0.0007584028062410653]"""
"98","Premise: My daughter suffered an allergy attack. Choice 1: I encouraged her to take deep breaths. Choice 2: I took her to the emergency room. Answer: 2  Premise: I poured water on my sleeping friend. Choice 1: My friend awoke. Choice 2: My friend snored. Answer: 1  Premise: The computer was expensive to fix. Choice 1: I got it repaired. Choice 2: I bought a new one. Answer:","0","1","Premise: I had a","""[0.003332802327349782, 0.0013962434604763985]"""
